task_id,condition,group,retrieval_required,retrieval_used,tools_used,num_retrieval_calls,judge_correctness,judge_hallucination,judge_grounding,judge_correctness_reason,judge_hallucination_reason,answer_preview
T01,no_rag,A_retrieval_necessary,yes,False,[],0,0,1,0,"The agent states the thesis is worth 12 ECTS credits when the gold answer clearly indicates it is 15 ECTS credits, making this a core factual error.",The claim of 12 ECTS credits directly contradicts the gold answer's specification of 15 ECTS credits.,The bachelor thesis in the CL major is worth 12 ECTS credits and is graded. It is a compulsory module that concludes your studies and must be completed as part of the degree requirements.
T02,no_rag,A_retrieval_necessary,yes,False,[],0,0,0,0,"The agent refuses to answer and provides no information about the consequence (module counted as failed), making it completely incorrect despite the question having a clear answer in the gold standard.","None detected - the agent makes no specific factual claims, only acknowledges inability to answer and provides generic recommendations.","I apologize, but I'm unable to retrieve the relevant documents at this moment. Based on the available tools and information, I cannot provide you with a definitive answer about what happens if a stude"
T03,no_rag,A_retrieval_necessary,yes,False,[],0,1,1,0,"The agent correctly identifies that disclosure is required and use without disclosure is plagiarism, but incorrectly adds a blanket requirement for explicit permission from supervisors that is not present in the gold answer, and misses key distinctions like direct citation requirements and the corrective use exception.","The agent introduces a specific requirement that 'explicit permission from the supervising professor or instructor' is needed, and repeats this claim multiple times, which directly contradicts the gold answer's guideline-based approach that allows use if proper citation and disclosure rules are followed.","Based on the available documents, the CL bachelor program has specific rules for using text generation models (such as ChatGPT, Claude, etc.) in student work:

**General Rule:**
Text generation models"
T04,no_rag,A_retrieval_necessary,yes,False,[],0,1,0,0,"The agent provides a generic definition of plagiarism that overlaps with the gold answer (e.g., copying text without attribution, self-plagiarism) but misses the specific five-form classification system and the three manifestations (quote, variation, paraphrase) that are key to the CL department's definition.",None detected - the agent's general statements about plagiarism are standard academic definitions and it explicitly acknowledges it cannot access the specific CL department documents.,"I need to retrieve the official CL department documents on plagiarism to give you an accurate answer. However, I don't have access to a retrieval function that's been initialized in this context.

Bas"
T05,no_rag,A_retrieval_necessary,yes,False,[],0,0,0,0,"The agent incorrectly claims the information is not available and fails to provide the actual solution (withdrawal request process), missing all key facts from the gold answer.","None detected - the agent appropriately suggests contacting administration when it believes information is unavailable, without inventing specific procedures.","The available documents do not contain specific information about what to do if two exams are scheduled at the same time. To get an answer to this question, I recommend contacting the Student Administ"
T06,no_rag,A_retrieval_necessary,yes,False,[],0,1,0,1,"The agent captures the general withdrawal procedure and mentions submitting medical documentation, but misses critical specific details: the requirement to immediately notify the department first, the precise five working day deadline, and the specific portal method ('My requests and invoices').","None detected - the agent's claims about medical certificates and timing are generally consistent with withdrawal procedures, though less specific than the gold answer.","Based on the document, here is how a student can withdraw from an assessment due to illness:

**Procedure:**
- The student must submit a medical certificate (Arztzeugnis) to the responsible office
- T"
T07,no_rag,A_retrieval_necessary,yes,False,[],0,0,0,0,"The agent refuses to answer and claims insufficient information, but the gold answer provides a clear, definitive answer that Wahlmodule cannot be repeated.","None detected - the agent makes no specific factual claims, only states it lacks information.","Based on the available documents, I do not have sufficient information to provide a clear answer to your question about whether a student can repeat a failed elective module (Wahlmodul) in the CL bach"
T08,no_rag,A_retrieval_necessary,yes,False,[],0,0,0,0,"The agent does not provide any answer to the question, only states that it needs to search for information, which means it fails to answer the core question about the 18 ECTS minimum requirement.","None detected - the agent makes no specific factual claims, only acknowledges the need to retrieve information.",I need to retrieve the official study program documentation to find the specific minimum ECTS requirements for the Informatik module group in the CL bachelor major (120 ECTS). Let me search for this i
T09,no_rag,B_retrieval_unnecessary,no,False,[],0,1,0,NA,"The agent includes most key facts (15 ECTS, graded, Dec 1/June 1 deadlines, missing deadline = failed) but omits the important requirement to agree on the topic before booking.",None detected,"**Bachelor Thesis Deadline — Simple Explanation**

Your bachelor thesis must be submitted by:
- **December 1st** if you're doing it in the fall semester (HS), OR
- **June 1st** if you're doing it in t"
T10,no_rag,B_retrieval_unnecessary,no,False,[],0,2,0,NA,"The agent correctly extracted the minimum ECTS requirements for each module group, presenting them in the requested bullet list format with accurate values.",None detected,"Based on the provided text, here are the minimum ECTS requirements per module group:

• **Einführung in die Computerlinguistik**: sämtliche Pflichtmodule (all mandatory modules)
• **Wissenschaftliche "
T11,no_rag,B_retrieval_unnecessary,no,False,[],0,2,0,NA,"The answer correctly converts all 5 types of plagiarism into a student-friendly checklist format, maintaining the core concepts from the gold answer requirement.",None detected,"## Plagiarism Checklist for Students

**Before submitting your work, make sure:**

☐ **Full text plagiarism** — I have not submitted an entire text under my own name

☐ **Partial plagiarism** — All te"
T12,no_rag,C_ambiguous,yes,False,[],0,0,1,0,The agent's answer is completely incorrect; it states citation/disclosure is required when the gold answer explicitly says no reference is needed for corrective use like grammar fixing.,The agent fabricates a requirement for disclosure statements and procedures that directly contradicts the gold answer's explicit exemption for corrective editing use.,"Based on the UZH Computational Linguistics program rules on text generation models:

**Yes, the student needs to document this use of ChatGPT**, even though they wrote the content themselves.

The rul"
T13,no_rag,C_ambiguous,yes,False,[],0,1,1,1,"The agent correctly identifies that the late submission will not be accepted and the exam will count as failed, but states the wrong deadline (3 working days instead of 5 working days).",The agent claims the deadline is 3 working days when the gold answer specifies it is 5 working days.,"Based on the CL bachelor program regulations, a doctor's certificate submitted 8 days after an exam would likely **not be accepted**. 

According to the study guidelines, a doctor's certificate must b"
T14,no_rag,C_ambiguous,yes,False,[],0,0,0,0,"The agent refused to answer and only stated it needs to retrieve information, providing no substantive answer to whether completed modules would be lost.",None detected,I need to retrieve the official regulations about switching from the CL major to the CL minor to answer this question accurately. Let me look up the relevant policy documents.
T15,no_rag,D_adversarial,no,False,[],0,2,0,NA,"The agent's answer is fully correct, stating that the bachelor thesis is graded (benotet), which matches the gold answer exactly.",None detected,"Yes, the bachelor thesis is graded (benotet)."
N16,no_rag,D_adversarial,no,False,[],0,2,0,NA,"The agent provides both deadlines (1 December for autumn, 1 June for spring) accurately, which are the key facts from the gold answer.",None detected,The bachelor thesis must be submitted to your supervisor by 1 December in the autumn semester or by 1 June in the spring semester at the latest.
N17,no_rag,D_adversarial,no,False,[],0,2,0,NA,"The agent's answer correctly conveys both key facts: booking equals binding registration for the exam, and not showing up without deregistering results in an automatic fail (grade 1 or 'nicht bestanden'), with no extra rules added.",None detected,"**Simple version for a first-year student:**

When you book a module, you're officially saying you will take it and do the exam or assessment. If you don't show up for the exam and don't withdraw befo"
N18,no_rag,D_adversarial,no,False,[],0,2,0,NA,"The agent correctly identifies all three ECTS-related values mentioned in the gold answer: 18 ECTS for Kernbereich, 60 ECTS total, and 30% graded requirement.",None detected,"Based on the provided text, the ECTS values mentioned are:

• 18 ECTS Credits (Kernbereich Computerlinguistik und Sprachtechnologie minimum requirement)
• 60 ECTS Credits (overall minimum requirement "
N19,no_rag,D_adversarial,no,False,[],0,2,0,NA,The agent correctly answers 'Yes' and accurately explains that missing the deadline results in the module being considered 'not passed' which is a failed attempt.,None detected,"Yes. According to the text, if you cannot meet the submission deadline for your bachelor thesis, the module is considered ""not passed"" (failed attempt / ""Fehlversuch"")."
N20,no_rag,B_retrieval_unnecessary,no,False,[],0,2,0,NA,The agent correctly identifies both key requirements: agreeing on the thesis topic with the supervisor and obtaining supervisor approval/confirmation before booking the module.,None detected,"Before booking the bachelor thesis module, a student should:

1. Agree on the thesis topic with the supervisor (Betreuerin/Betreuer)
2. Obtain confirmation/agreement from the supervisor

The passage e"
N21,no_rag,B_retrieval_unnecessary,no,False,[],0,2,0,NA,The agent's answer fully captures both required elements: (1) plagiarism as reproduction without attribution and (2) format irrelevance of the original source.,None detected,"• A plagiarism is the reproduction of a text passage without indicating its source.

• It is irrelevant whether the original text is published in print or online."
N22,no_rag,B_retrieval_unnecessary,no,False,[],0,2,0,NA,"The agent correctly states that grammar correction does not require citation and provides supporting detail about corrective editing, which aligns with the gold answer.",None detected,"No. According to the provided text, if text generation models are used merely for corrective editing—such as fixing grammatical errors or improving idiomaticity of text written by the student—no refer"
N23,no_rag,B_retrieval_unnecessary,no,False,[],0,1,1,NA,"The agent captures the core requirements (book on time, use official tool, registration elsewhere invalid) but adds an unsupported third step about 'confirming validity' that changes the emphasis from the gold answer's clear statement that other registrations are invalid.","Step 3 'Confirm validity – Ensure your booking is valid; if not completed correctly, your performance will not be credited' introduces a specific claim about performance not being credited that is not present in the gold answer and appears to be fabricated detail.","**Module Booking Checklist**

1. **Book modules on time** – Register all modules within the specified deadlines in the student portal (Studierendenportal)

2. **Use the official booking tool** – Alway"
N24,no_rag,B_retrieval_unnecessary,no,False,[],0,2,0,NA,"The agent provided exactly 8 module names in a clean list format without adding ECTS values, descriptions, or extraneous modules, which fully matches the gold answer's requirement.",None detected,"Programming in Language Technology 1
Programming in Language Technology 2
Introduction to Language Technology
Machine Learning for Language Technology
Math. Foundations for Language Technology 1
Intro"
N25,no_rag,D_adversarial,no,False,[],0,2,0,NA,The agent's answer contains all key facts from the gold answer: passed compulsory modules cannot be repeated and failing an elective module has no consequences.,None detected,"Compulsory modules that have been passed cannot be repeated to improve the grade, while failed elective modules have no further consequences."
